;               1;      2;      5;      10;     20;     50;     100
6000;   500;    6589;   6580;   6595;   6735;   11278;  29118;  68490;
6500;   500;    7738;   7739;   7649;   7826;   13470;  36672;  61548;
7500;   500;    10291;  10111;  10363;  14917;  22131;  47506;  83056;
10000;  500;    18151;  17920;  18191;  21006;  43318;  85994;  151054;
6000;   750;    6418;   6589;   6579;   6662;   13356;  29140;  70901;
6500;   750;    7780;   7732;   7722;   9095;   13008;  36028;  62647;
7500;   750;    10027;  10247;  10290;  10448;  18041;  48818;  119852;
10000;  750;    17999;  18089;  18068;  19428;  36672;  85960;  169494;
