Threads,Resolution,Iterations,Width,Height,Total size,Execution time [ms],Writing to file [ms],Total time [ms],Execution time [%],Writing to file [%],Speedup,Efficiency,Total speedup,Total efficiency
sequential,7500,750,22500,15000,337500000,143760,9554,153314,0.93768,0.06232,,,,
1,7500,750,22500,15000,337500000,135131,10462,145593,0.92814,0.07186,,,,
2,7500,750,22500,15000,337500000,67627,10372,77999,0.86702,0.13298,,,,
5,7500,750,22500,15000,337500000,55105,10309,65414,0.84240,0.15760,,,,
10,7500,750,22500,15000,337500000,27622,10417,38039,0.72615,0.27385,,,,
20,7500,750,22500,15000,337500000,17445,10305,27750,0.62865,0.37135,,,,
40,7500,750,22500,15000,337500000,12927,10374,23301,0.55478,0.44522,,,,
60,7500,750,22500,15000,337500000,11675,10266,21941,0.53211,0.46789,,,,
100,7500,750,22500,15000,337500000,10833,10429,21262,0.50950,0.49050,,,,
sequential,10000,750,,,,255724,17643,,,,,,,
1,10000,750,30000,20000,600000000,238547,18483,,,,,,,
2,10000,750,30000,20000,600000000,119093,18382,,,,,,,
5,10000,750,30000,20000,600000000,97215,18286,,,,,,,
10,10000,750,30000,20000,600000000,48613,18317,,,,,,,
20,10000,750,30000,20000,600000000,26070,18233,,,,,,,
40,10000,750,30000,20000,600000000,21167,18216,,,,,,,
60,10000,750,30000,20000,600000000,20045,18111,,,,,,,
100,10000,750,30000,20000,600000000,19171,18237,,,,,,,
