;       1;      2;      5;      10;     20;     50;     100
1.0e10; 6.13;   3.08;   2.44;   2.39;   1.82;   0.53;   0.23
3.6e10; 21.95;  11.02;  4.55;   8.51;   4.23;   1.77;   0.87
1.3e11; 80.31;  40.06;  16.02;  32.42;  15.01;  7.74;   2.73
5.0e11; 306.98; 153.95; 61.58;  131.91; 41.85;  17.47;  12.88
